"id_comm";"id_study"
"Berry et al. 2010_Berry Borneo trees 2.5cm_22_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_23_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_24_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_25_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_26_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_27_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_28_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_29_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_2_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_30_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_3_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_4_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_5_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_6_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_7_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_8_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_9_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 30cm_11_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_12_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_15_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_17_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_18_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_19_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_20_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
"Berry et al. 2010_Berry Borneo trees 30cm_21_NA";"PR_Berry et al. 2010_Berry Borneo trees 30cm"
